title,director,image_url,starring,commentary,url,trailer
100) Reservoir Dogs (1992),Quentin Tarantino,https://images.bauerhosting.com/legacy/media/5d2d/e61a/853e/7cc4/4bcc/fb99/reservoir-dogs.jpg?auto=format&w=1440&q=80,"Harvey Keitel, Tim Roth, Steve Buscemi, Michael Madsen, Chris Penn","Making his uber cool and supremely confident directorial debut,Quentin Tarantinohit audiences with a terrific twist on the heist-gone-wrong thriller. For the most part a single location chamber piece,Reservoir Dogsdelights in ricocheting the zing and fizz of its dialogue around its gloriously —and indeed gore-iously) — intense setting, with the majority of the movie's action centring around one long and incredibly bloody death scene. Packing killer lines, killer needledrops, and killer, er, killers too, not only is this a rollicking ride in its own right, but it also set the blueprint for everything we've come to expect from a Tarantino joint. Oh, and by the way: Nice Guy Eddie was shot by Mr. White. Who fired twice. Case closed.",/additional_info/reservoir-dogs-1992,https://www.youtube.com/watch?v=vayksn4Y93A
99) Groundhog Day (1993),Harold Ramis,https://images.bauerhosting.com/legacy/media/5e67/b5d6/d5e0/0a70/f606/0d1a/2-groundhog-day.jpg?auto=format&w=1440&q=80,"Bill Murray, Andie McDowell, Chris Elliott, Stephen Tobolowsky","Bill Murray is at the height of his (eventually) lovable schmuck powers as narcissistic weatherman Phil Connors. Andie McDowell brings the brains and the heart as distant-but-ever-closer-coming producer Rita Hanson. And Harold Ramis, directing and co-writing with Danny Rubin, manages to spin gold from the well-worn thread of a man stuck in time. Whilst this time-loop dramedy might not have been the first film to drink from this particular trope's well, it is inarguably head and shoulders above the rest. Murray's customarily snarky delivery gets the easy laughs flowing early doors, but it's the way the movie finds deeper things to say about existence and morals as it goes on, all whilst never feeling overly preachy or worthy, that keeps us coming back to it again, and again, and again.",/additional_info/groundhog-day-1993,https://www.youtube.com/watch?v=GncQtURdcE4
98) Paddington 2 (2017),Paul King,https://images.bauerhosting.com/legacy/media/5e1a/1bb7/d69f/1cb9/e380/fb8f/51-paddington-2.jpg?auto=format&w=1440&q=80,"Ben Whishaw, Hugh Bonneville, Sally Hawkins, Hugh Grant, Brendan Gleeson","When the firstPaddingtonwas on the way, early trailers didn't look entirely promising. Yet co-writer/director Paul King delivered a truly wonderful film bursting with joy, imagination, kindness, and just the odd hard stare from our beloved Peruvian bear. How was he going to follow that? By making one of the greatest sequels — nay, one of the best,most feel-good movies, period — of all time, naturally. Matching wits with Hugh Grant's moustache-twirlingly evil and deliciously outré washed-up actor Phoenix Buchanan, Paddington (Ben Whishaw) is on typically adorable form here as his search for a special present for his Great Aunt Lucy leads to all sorts of hilarious hijinks. Like all great sequels, this one takes everything that made the first so good and builds on it, dialing up the spectacle, the silliness, and the emotional stakes. The result is as sweet as marmalade.",/additional_info/paddington-2-2017,https://www.youtube.com/watch?v=sw7RElt-SvE
97) Amélie (2001),Jean-Pierre Jeunet,https://images.bauerhosting.com/legacy/media/5e1d/f8e8/d69f/1c28/ec81/1133/31-amelie.jpg?auto=format&w=1440&q=80,"Audrey Tautou, Mathieu Kassovitz, Rufus, Lorella Cravotta","Jean-Pierre Jeunet's fourth feature – his second as a solo artist divorced from Marc Caro – saw theDelicatessen,The City of Lost ChildrenandAlien: Resurrectionfilmmaker leave behind the overwhelming darkness of his earlier works and step out into the glorious sunshine ofAmélie's whimsical fantasy Paris. Sure, a cyniccouldread the film as the story of Audrey Tautou's monomaniacal title character's relentless, somewhat stalkerish pursuit of the hapless Nino (Matthieu Kassovitz) around Montmartre's dream-like cityscape. But this one isn't for the cynics — it's a tribute to the daydreamers of this world. It's a sweet, nostalgic, sentimental, beautifully sunny, unforcedly quirky romantic comedy played out amidst a veritable visual fantasia that only Jeunet could have conceived.Améliewill always be on our list of things we like.",/additional_info/amélie-2001,https://www.youtube.com/watch?v=HUECWi5pX7o
96) Brokeback Mountain (2005),Ang Lee,https://images.bauerhosting.com/legacy/media/5e1a/1b87/f8b0/692c/5005/a5bf/54-brokeback-mountain.jpg?auto=format&w=1440&q=80,"Heath Ledger, Jake Gyllenhaal, Anne Hathaway, Michelle Williams","Ang Lee's adaptation of Annie Proulx's short story (scribed by Larry McMurtry and Diana Ossana, and also featuring in our list of the50 greatest LGBTQ+ movies) retains its source's sensitivity and grace whilst expanding its scope gorgeously, 10,000 words of prose turned into a sweeping cinematic romance for the ages before our very eyes. Played out against the beautiful mountain landscapes of Wyoming (or, in reality, the Canadian Rockies), the decades-spanning love story between shepherds Ennis Del Mar (Ledger) and Jack Twist (Gyllenhaal) — two men who unexpectedly find love on the titular mountainside, only to find it tested over the years as societal mores and heteronormative expectations work against them — is sensually observed and immaculately shot. Not only does it give you hope and break your heart in equal measure, but the multiple Oscar-winning movie's impact on queer cinema continues to be felt today. Even now, almost two decades later, we still don't know how to quit it (and honestly, we don't want to).",/additional_info/brokeback-mountain-2005,https://www.youtube.com/watch?v=kMA30rThECg
95) Donnie Darko (2001),Richard Kelly,https://images.bauerhosting.com/legacy/media/5f1a/c758/2c0a/701d/e670/10ca/27-donnie-darko.jpg?auto=format&w=1440&q=80,"Jake Gyllenhaal, Jena Malone, Maggie Gyllenhaal, Patrick Swayze, Mary McDonnell","A high school drama with a time-travelling, tangential universe-threading, sinister rabbit-featuring twist, Richard Kelly's deliberately labyrinthine opus was always destined for cult classic status. A certifiable flop upon its theatrical release, Kelly's film was one of the early beneficiaries of physical media's move to DVD, with the movie gaining a fandom in film obsessives who could pause, play, and skip back and forth through it at will. Any attempt to synopsise the movie is a fool's errand, but there's more than a hint ofIt's A Wonderful Lifein the way we see Donnie (Jake Gyllenhaal, in a star-making turn) experiencing how the world would be worse off if he survives the jet engine that mysteriously crashes through his bedroom. That the film, with all its heavy themes and brooding atmosphere, manages to eventually land on a note of overwhelming optimism is a testament to Kelly's mercurial moviemaking. A mad world (mad world)Donnie Darko's may be, but it's also one that continues to beguile and fascinate as new fans find themselves obsessed with uncovering its mysteries.",/additional_info/donnie-darko-2001,https://www.youtube.com/watch?v=bzLn8sYeM9o
94) Scott Pilgrim Vs. The World (2010),Edgar Wright,https://images.bauerhosting.com/legacy/media/5f34/0c56/b138/cbc2/3f04/3c09/scott-pilgrim-main.jpg?auto=format&w=1440&q=80,"Michael Cera, Mary Elizabeth Winstead, Chris Evans, Brie Larson, Jason Schwartzman, Anna Kendrick, Aubrey Plaza","WithScott Pilgrim Vs. The World, Edgar Wright leaned all the way into the things that make his directorial style so singular — excellent needle drops, a poppy visual palette, whip-pans and whip-smart wit — in order to do Bryan Lee O'Malley's beloved graphic novels justice. Michael Cera is on peak socially awkward Cera form here as the eponymous put-upon protagonist who's forced to face his new girlfriend's (Mary Elizabeth Winstead) seven evil exes in a series of increasingly wild face-offs. But it's the film's extraordinarily stacked ensemble (Chris Evans! Brie Larson! Anna Kendrick! Aubrey Plaza!), impressive mixed-media aesthetics, and endless pool of iconic quotes and playlist-essential tunes that cement it as one of Wright's most memorable. This is good garlic bread.",/additional_info/scott-pilgrim-vs-the-world-2010,https://www.youtube.com/watch?v=7wd5KEaOtm4
93) Portrait Of A Lady On Fire (2020),Céline Sciamma,https://images.bauerhosting.com/legacy/media/5e53/c0ce/a5ac/a95a/cd90/caaf/portrait-of-a-lady-1.jpg?auto=format&w=1440&q=80,"Noémie Merlant, Adèle Haenel","Celine Sciamma's magnetic, masterful lesbian romance may be a recent addition to this list (and our compilation of the50 best LGBTQ+ movies), but became an instant landmark of queer cinema upon its release. Starring Noémie Merlant as an 18th century painter and Adèle Haenel as her elusive subject,Portrait Of A Lady On Fireis a tale of an epic love developed in the quietest, most delicate way, formed in stolen moments and glances. Sciamma's carefully constructed, smouldering screenplay and our leads' electric chemistry are matched only by Claire Mathon's transcendent cinematography, with each impeccably framed, Renaissance inspired 8K shot bringing new meaning to the expression ""every frame a painting"". Pure poetry.",/additional_info/portrait-of-a-lady-on-fire-2020,https://www.youtube.com/watch?v=R-fQPTwma9o
92) Léon: The Professional (1994),Luc Besson,https://images.bauerhosting.com/legacy/media/619d/5ed4/5165/4393/173b/793d/IMG_0294.jpeg?auto=format&w=1440&q=80,"Natalie Portman, Jean Reno, Gary Oldman","In some ways, Luc Besson's first English-language movie is a spiritual spin-off: after all, isn't Jean Reno's eponymous hitman justNikita's Victor The Cleaner renamed and fleshed out? In all seriousness though, Besson's film — which sees Reno's titular contract killer caught up in an unlikely coming-of-age tale after his next-door neighbours wind up on the wrong side of a DEA sting — is very much its own beast. Inarguably, its greatest strength however isn't Reno, or even Gary Oldman's unhinged baddie Stansfield, but a very young Natalie Portman, who delivers a luminous, career-creating performance as vengeful 12-year-old Mathilda. Despite some of the ickiness inherent in the relationship the film presents between a middle-aged man and a pre-teen girl, Portman's phenomenal performance helps augment an unlikely kinship that winds up being deeply affecting to watch.",/additional_info/léon-the-professional-1994,https://www.youtube.com/watch?v=aNQqoExfQsg
91) Logan (2017),James Mangold,https://images.bauerhosting.com/empire/2023/09/Logan.jpg?auto=format&w=1440&q=80,"Hugh Jackman, Patrick Stewart, Dafne Keen, Stephen Merchant, Boyd Holbrook","If you're going to wrap up your tenure as one of the most loved superhero icons in fiction, it's hard to think of a better way than how Hugh Jackman — under the direction of a never-better James Mangold — punched out on the time clock of playing Wolverine. Set in a dark near-future world where an aging Logan is caring for a mentally unstable Professor Xavier (Patrick Stewart) and getting mixed up yet again with some very dangerous people,Logantakes cues from Western greats such asShaneas Wolvie wrestles with his mortality and history of violence. A truly original superhero tale that is mournful without being morbid, Mangold's mutant masterwork is the perfect end to Logan's story (an ending, it has to be noted, given a rousing yet respectful encore inDeadpool & Wolverine).",/additional_info/logan-2017,https://www.youtube.com/watch?v=RH3OxVFvTeg
